year,month,value
2017,10,.69034
2017,11,-.077573
2017,12,-.058978
2018,1,-.28084
2018,2,.11273
2018,3,-.94112
2018,4,.54391
2018,5,1.1796
2018,6,.37988
2018,7,.61175
2018,8,.83607
2018,9,.58451
2018,10,.41277
2018,11,-1.1162
2018,12,.10973
2019,1,-.7131999999999999
2019,2,1.1495
2019,3,2.1161
2019,4,-.25531
2019,5,-1.2313
2019,6,-.60129
2019,7,-.88969
2019,8,-.72177
2019,9,.3062
2019,10,-.082195
2019,11,-1.1934
