ISIN	null								
Start date	08.04.2024								
End date	24.04.2024								
									
ISIN	Security full name	Issue size (mn)	Date	Face value	Face value currency	Outstanding face value	Coupon rate, per cent per annum	Payment amount, nominal currency	Payment amount, RUB*
XS2063279959	Alfa Bond Issuance 15/04/30	850	15.04.2024	1000	USD	1000	5.95	29.75	2779.9
USG76237AC37	Rolls-Royce PLC 5.75 15/10/27	1000	15.04.2024	1000	USD	1000	5.75	28.75	2686.45
RU000A107SG8	SSCap 001P-01	500	15.04.2024	1000	RUB	1000	19	15.62	15.62
RU000A107KR2	MigCredit BO-04	300	15.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A1071U9	Element Leasing BO 001P-06	2500	15.04.2024	1000	RUB	833.8	15.5	10.98	10.98
RU000A106KW4	Element Leasing BO 001P-05	3000	15.04.2024	1000	RUB	750.7	10	6.4	6.4
RU000A106K27	Medsi group 001P-03	3000	15.04.2024	1000	RUB	1000	10.4	25.93	25.93
RU000A105WJ8	GazpromKapital ZO25-2-E	720.525	15.04.2024	1000	EUR	1000	2.95	29.5	2941.93
RU000A105AS5	Avangard-Agro AO B001P-03	3000	15.04.2024	1000	RUB	1000	12.5	31.16	31.16
RU000A103XP8	Ferroni BO-P01	250	15.04.2024	1000	RUB	950	13	10.68	10.68
RU000A103W26	RG Leasing 1P1	3000	15.04.2024	1000	RUB	1000	16	79.78	79.78
RU000A1018M7	SCPF FPF 01	10000	15.04.2024	1000	RUB	1000	6.84	17.05	17.05
RU000A100T81	UniMetriks 01	400	15.04.2024	1000	RUB	1000	12	9.86	9.86
RU000A100A66	MTS 001P-09	7500	15.04.2024	1000	RUB	1000	8.6	21.44	21.44
RU000A0ZZ4P9	RZD BO 1P-06R	15000	15.04.2024	1000	RUB	1000	9.45	47.12	47.12
RU000A0JVVP5	PSB BO-02	10000	15.04.2024	1000	RUB	1000	16.2	40.39	40.39
RU000A0JVN64	Rosselhozbank 25	10000	15.04.2024	1000	RUB	1000	17.6	43.88	43.88
XS2396900685	Polyus Finance Plc 14/10/28	700	14.04.2024	1000	USD	1000	3.25	16.25	1518.43
XS1120709826	REPUBLIC OF KAZAKHSTAN 4.875	1000	14.04.2024	1000	USD	1000	4.875	24.375	2277.65
RU000A108132	GLORAX 001P-02	1000	14.04.2024	1000	RUB	1000	17.25	14.18	14.18
RU000A1077X0	INTERLISING 001P-07	4500	14.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A106KY0	Techport01	150	14.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A106KT0	MigCredit BO-02	200	14.04.2024	1000	RUB	1000	14.75	12.12	12.12
RU000A105N25	MFC Bistrodengi U002P-01	17.5	14.04.2024	100	CNY	100	8	0.66	8.49
RU000A107SA1	LC Rodelen BO 002P-02	1000	13.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A107S85	MFC Summit 001P-03	150	13.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A107E08	IEK HOLDING 001P-02	2000	13.04.2024	1000	RUB	1000	16.25	13.36	13.36
RU000A107795	MFC Lime-Zaim 04	500	13.04.2024	1000	RUB	1000	20	16.44	16.44
RU000A1070X5	ABZ-1 001P-05	2000	13.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A105RF6	LIZING-TREYD 001P-06	150	13.04.2024	1000	RUB	1000	14.5	11.92	11.92
RU000A105849	Fordewind 01	250	13.04.2024	1000	RUB	680	19.9	11.78	11.78
